sep=,
DeviceTag:,Xsens_4,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2023.0.0,,,,,,,,,,,,,,,,,
StartTime:,2023-06-20 14:10:10.000 +0200,,,,,,,,,,,,,,,,,
© Movella Technologies B. V. 2005-2023,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Status,
88, 157003410, 2.2015740871429443, 0.786169171333313, 86.86286926269531, 0.023842990398406982, 0.2612571120262146, 10.26989459991455, 0.8760952353477478, 0.8606764078140259, -0.6176246404647827, 0, 
89, 157020077, 2.20872163772583, 0.7952529191970825, 86.8345718383789, 0.005572051275521517, 0.24920813739299774, 10.28081226348877, 0.8635064959526062, 0.955251157283783, -0.51146000623703, 0, 
90, 157036744, 2.215287685394287, 0.8019982576370239, 86.82182312011719, 0.008609742857515812, 0.23265676200389862, 10.279500961303711, 0.8359792232513428, 0.8147206902503967, -0.6609869003295898, 0, 
91, 157053411, 2.222435712814331, 0.8094217777252197, 86.82684326171875, 0.018876483663916588, 0.22906993329524994, 10.245985984802246, 0.8767675161361694, 0.8632695078849792, -0.6061629056930542, 0, 
92, 157070078, 2.2284016609191895, 0.8174718618392944, 86.80850219726562, 0.01240728609263897, 0.24339570105075836, 10.241904258728027, 0.8121339678764343, 0.9073362946510315, -0.5771053433418274, 0, 
93, 157086745, 2.2362120151519775, 0.8250969052314758, 86.79997253417969, -0.0028525309171527624, 0.2554629147052765, 10.270652770996094, 0.9309128522872925, 0.8839647173881531, -0.6951414942741394, 0, 
94, 157103412, 2.2428643703460693, 0.8326457142829895, 86.78724670410156, 0.007941767573356628, 0.2406107634305954, 10.28962516784668, 0.8657093048095703, 0.8855335712432861, -0.656562328338623, 0, 
95, 157120079, 2.248835802078247, 0.8404473662376404, 86.77448272705078, 0.010813853703439236, 0.2583827078342438, 10.233452796936035, 0.8306455016136169, 0.908636212348938, -0.6203780174255371, 0, 
96, 157136746, 2.2548928260803223, 0.8480197787284851, 86.76358795166016, 0.020050736144185066, 0.26008859276771545, 10.230037689208984, 0.840154230594635, 0.9017399549484253, -0.587376058101654, 0, 
97, 157153413, 2.260962724685669, 0.8562455773353577, 86.77962493896484, 0.007151521742343903, 0.24635949730873108, 10.285100936889648, 0.8466662764549255, 0.9465301632881165, -0.6165681481361389, 0, 
98, 157170080, 2.266226291656494, 0.8644745945930481, 86.7658462524414, 0.008072130382061005, 0.2586610019207001, 10.271150588989258, 0.8041107058525085, 0.9525876045227051, -0.6261856555938721, 0, 
99, 157186747, 2.272364616394043, 0.8712820410728455, 86.75419616699219, 0.004095366690307856, 0.23345640301704407, 10.262601852416992, 0.8616624474525452, 0.8749938011169434, -0.5818564891815186, 0, 
100, 157203414, 2.2773940563201904, 0.8773829340934753, 86.74070739746094, 0.008093982934951782, 0.2466457188129425, 10.243204116821289, 0.8022921681404114, 0.8382267355918884, -0.5927674770355225, 0, 
101, 157220081, 2.2827951908111572, 0.8856895565986633, 86.72032165527344, 0.0034570624120533466, 0.24468806385993958, 10.258784294128418, 0.8320541381835938, 0.9755108952522278, -0.647489070892334, 0, 
102, 157236748, 2.2893152236938477, 0.8923463225364685, 86.69873046875, 4.2843446135520935E-4, 0.25104984641075134, 10.297090530395508, 0.9047175049781799, 0.8830874562263489, -0.6207558512687683, 0, 
103, 157253415, 2.2954533100128174, 0.899406909942627, 86.67725372314453, -0.0042402371764183044, 0.25203442573547363, 10.301602363586426, 0.8868973851203918, 0.9168385863304138, -0.5361762642860413, 0, 
104, 157270082, 2.300788164138794, 0.9047613143920898, 86.67483520507812, 0.007236325182020664, 0.24184465408325195, 10.257359504699707, 0.8469287157058716, 0.8146951794624329, -0.665674090385437, 0, 
105, 157286749, 2.306917667388916, 0.9108358025550842, 86.6613998413086, 0.0048044901341199875, 0.23984694480895996, 10.258341789245605, 0.9001520276069641, 0.8680848479270935, -0.5747106075286865, 0, 
106, 157303416, 2.3115530014038086, 0.917932391166687, 86.65487670898438, 0.007974334061145782, 0.23322051763534546, 10.284347534179688, 0.8163023591041565, 0.9374120831489563, -0.5431556701660156, 0, 
107, 157320083, 2.316502332687378, 0.9226173758506775, 86.64157104492188, -0.006574590690433979, 0.23812761902809143, 10.277490615844727, 0.8442266583442688, 0.7987641096115112, -0.5695624351501465, 0, 
108, 157336750, 2.3212037086486816, 0.9292163252830505, 86.63471984863281, 0.012065795250236988, 0.24090851843357086, 10.277996063232422, 0.8376185297966003, 0.9156219959259033, -0.6516126990318298, 0, 
109, 157353417, 2.3275840282440186, 0.935334324836731, 86.62359619140625, 0.011158064007759094, 0.2490018904209137, 10.277863502502441, 0.9463956952095032, 0.893377423286438, -0.6768797039985657, 0, 
110, 157370084, 2.3321619033813477, 0.9402142763137817, 86.60867309570312, 0.005128968507051468, 0.24769999086856842, 10.262222290039062, 0.8438295125961304, 0.8275783061981201, -0.6216074228286743, 0, 
111, 157386751, 2.3372905254364014, 0.9464544057846069, 86.59970092773438, 0.009139719419181347, 0.23941543698310852, 10.266315460205078, 0.8828248977661133, 0.9184266328811646, -0.6018728613853455, 0, 
112, 157403418, 2.342621326446533, 0.9512624144554138, 86.59649658203125, 0.017787104472517967, 0.25363895297050476, 10.276323318481445, 0.9025722742080688, 0.8381947875022888, -0.6078278422355652, 0, 
113, 157420085, 2.3466367721557617, 0.9555258750915527, 86.57545471191406, 0.0071143112145364285, 0.2515117824077606, 10.272505760192871, 0.8302933573722839, 0.8149256706237793, -0.5806399583816528, 0, 
114, 157436752, 2.3517723083496094, 0.9610862731933594, 86.57099914550781, -0.00130595569498837, 0.24800477921962738, 10.263284683227539, 0.9040707349777222, 0.8976163268089294, -0.6398308873176575, 0, 
115, 157453419, 2.3566579818725586, 0.9662731885910034, 86.56017303466797, 0.00460051791742444, 0.2522788643836975, 10.246929168701172, 0.8950037360191345, 0.8837981820106506, -0.5692550539970398, 0, 
