sep=															
DeviceTag:	Xsens_5														
FirmwareVersion:	2.2.1														
AppVersion:	2023.0.0														
StartTime:	2023-07-04 14:47:22.000 +0200														
© Movella Technologies B. V. 2005-2023															
PacketCounter	SampleTimeFine	Quat_W	Quat_X	Quat_Y	Quat_Z	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Status
11	2164951889	0.005158945	0.004065335	0.704932364	0.709244119	-9.490861451	2.561989827	0.539564515	2.519684224	-2.259306839	-9.484058546	0.92584899	0.459097576	-0.228651224	0
12	2164968556	0.006326459	0.004683061	0.704643877	0.709517478	-9.491726981	2.481927539	0.533666704	2.887164784	-2.827098992	-10.83373989	0.92452958	0.458702917	-0.229762151	0
13	2164985223	0.007716277	0.005404042	0.704484464	0.709656885	-9.544603924	2.439077287	0.570284753	1.227960897	-3.253968814	-12.11151118	0.924496174	0.461188159	-0.228181398	0
14	2165001890	0.009197114	0.006151012	0.704503141	0.709614616	-9.590255816	2.415103898	0.637074838	0.089787651	-3.583963864	-12.34541969	0.926937803	0.458745182	-0.230685262	0
15	2165018557	0.01066494	0.006863494	0.70438595	0.709703871	-9.679049404	2.404111573	0.716692443	0.871867843	-3.333724458	-11.72582077	0.928192691	0.458908194	-0.23223606	0
16	2165035224	0.012080994	0.007568133	0.704185145	0.709873267	-9.714719011	2.403454867	0.706915706	1.32679403	-2.730590731	-11.08931964	0.931116447	0.459626315	-0.231521031	0
17	2165051891	0.013355541	0.008218165	0.704082142	0.70994537	-9.712956279	2.422221594	0.737312412	0.81817038	-2.219611308	-9.907117647	0.932717983	0.461553928	-0.232753258	0
18	2165068558	0.014475821	0.008758976	0.70388997	0.710107486	-9.705719082	2.432786532	0.752821762	1.547755872	-1.807291731	-8.456938709	0.932196358	0.45732045	-0.230085648	0
19	2165085225	0.015343175	0.009170668	0.703648015	0.710323839	-9.689334391	2.424846459	0.731649088	2.207065483	-1.119301472	-6.505440671	0.928469537	0.460369327	-0.232116736	0
20	2165101892	0.016015011	0.009511713	0.703564107	0.710387637	-9.688378966	2.430820725	0.666560615	0.770124934	-0.443296213	-5.140846566	0.9331596	0.459669199	-0.230815079	0
21	2165118559	0.016577112	0.009796878	0.703856538	0.710081118	-9.65492166	2.532958617	0.63601849	-2.74731638	-0.182089124	-4.30803048	0.933816046	0.458837255	-0.230854151	0
22	2165135226	0.017102448	0.010020445	0.70433052	0.709595389	-9.632372218	2.643822305	0.672448426	-4.548661124	-0.329363924	-3.910402262	0.933215307	0.459260986	-0.228420195	0
23	2165151893	0.017567879	0.010243976	0.704647261	0.709266288	-9.634209322	2.702899722	0.685053223	-2.598459217	-0.198099358	-3.798240191	0.937152835	0.457287495	-0.231195513	0
24	2165168560	0.018048902	0.010433632	0.704707759	0.709191336	-9.547888527	2.701702067	0.64065755	-0.63246258	-0.373035363	-3.844311455	0.934608071	0.458918319	-0.230922339	0
25	2165185227	0.018570782	0.010630955	0.704842457	0.709041057	-9.490626573	2.691755403	0.551346728	-1.332305752	-0.577754796	-4.23887272	0.934531998	0.459614713	-0.231908408	0
26	2165201894	0.019152356	0.010822372	0.705201036	0.708666044	-9.479429653	2.692043845	0.553966681	-3.433792283	-0.982348086	-4.641711931	0.935450945	0.459791323	-0.230663096	0
27	2165218561	0.019787187	0.010995126	0.705616875	0.708231883	-9.506986038	2.709788731	0.586647129	-3.881949825	-1.440140932	-4.917268896	0.937506643	0.456180596	-0.231844275	0
28	2165235228	0.020470627	0.01114978	0.705844045	0.70798363	-9.52560414	2.74438895	0.602199722	-2.398669092	-1.777265471	-5.11747443	0.937264919	0.455437164	-0.231480135	0
29	2165251895	0.021119147	0.011279412	0.70596397	0.707842941	-9.529224339	2.719761447	0.564117746	-1.33581166	-1.796479291	-4.900168284	0.938570163	0.457220914	-0.231934134	0
30	2165268562	0.021740805	0.011383358	0.706118806	0.707667993	-9.580304839	2.683085906	0.538199326	-1.709610998	-1.832968234	-4.692109675	0.938795122	0.457387402	-0.232699956	0
31	2165285229	0.022329286	0.011470225	0.706377631	0.707389906	-9.616164326	2.684735966	0.506958399	-2.778119037	-1.77945784	-4.465473728	0.938469381	0.456841667	-0.234125496	0
32	2165301896	0.02294377	0.011540716	0.706716889	0.707030151	-9.635997661	2.73465716	0.540518211	-3.789385893	-1.983794133	-4.509998654	0.938381935	0.456213864	-0.233893401	0
