sample;time;position_x;position_y;position_z
239;3.96666667;-0.111697;1.4037952;-0.214548
240;3.98333333;-0.111697;1.4037952;-0.214548
241;4;-0.111697;1.4037952;-0.214548
242;4.01666667;-0.111697;1.4037952;-0.214548
243;4.03333333;-0.111697;1.4037952;-0.214548
244;4.05;-0.111697;1.4037952;-0.214548
245;4.06666667;-0.111697;1.4037952;-0.214548
246;4.08333333;-0.111697;1.4037952;-0.214548
247;4.1;-0.111697;1.4037952;-0.214548
248;4.11666667;-0.111697;1.4037952;-0.214548
249;4.13333333;-0.111697;1.4037952;-0.214548
250;4.15;-0.111697;1.4037952;-0.214548
251;4.16666667;-0.111697;1.4037952;-0.214548
252;4.18333333;-0.111697;1.4037952;-0.214548
253;4.2;-0.111697;1.4037952;-0.214548
254;4.21666667;-0.111697;1.4037952;-0.214548
255;4.23333333;-0.111697;1.4037952;-0.214548
256;4.25;-0.111697;1.4037952;-0.214548
257;4.26666667;-0.111697;1.4037952;-0.214548
258;4.28333333;-0.111697;1.4037952;-0.214548
259;4.3;-0.111697;1.4037952;-0.214548
260;4.31666667;-0.111697;1.4037952;-0.214548
261;4.33333333;-0.111697;1.4037952;-0.214548
262;4.35;-0.111697;1.4037952;-0.214548
263;4.36666667;-0.111697;1.4037952;-0.214548
264;4.38333333;-0.111697;1.4037952;-0.214548
265;4.4;-0.111697;1.4037952;-0.214548
266;4.41666667;-0.111697;1.4037952;-0.214548
267;4.43333333;-0.111697;1.4037952;-0.214548
268;4.45;-0.111697;1.4037952;-0.214548
269;4.46666667;-0.111697;1.4037952;-0.214548
270;4.48333333;-0.111697;1.4037952;-0.214548
271;4.5;-0.111697;1.4037952;-0.214548
272;4.51666667;-0.111697;1.4037952;-0.214548
273;4.53333333;-0.111697;1.4037952;-0.214548
274;4.55;-0.111697;1.4037952;-0.214548
275;4.56666667;-0.111697;1.4037952;-0.214548
276;4.58333333;-0.111697;1.4037952;-0.214548
277;4.6;-0.111697;1.4037952;-0.214548
278;4.61666667;-0.111697;1.4037952;-0.214548
279;4.63333333;-0.111697;1.4037952;-0.214548
280;4.65;-0.111697;1.4037952;-0.214548
281;4.66666667;-0.111697;1.4037952;-0.214548
282;4.68333333;-0.111697;1.4037952;-0.214548
283;4.7;-0.111697;1.4037952;-0.214548
284;4.71666667;-0.111697;1.4037952;-0.214548
285;4.73333333;-0.111697;1.4037952;-0.214548
286;4.75;-0.111697;1.4037952;-0.214548
287;4.76666667;-0.111697;1.4037952;-0.214548
288;4.78333333;-0.111697;1.4037952;-0.214548
289;4.8;-0.111697;1.4037952;-0.214548
290;4.81666667;-0.111697;1.4037952;-0.214548
291;4.83333333;-0.111697;1.4037952;-0.214548
292;4.85;-0.111697;1.4037952;-0.214548
293;4.86666667;-0.111697;1.4037952;-0.214548
294;4.88333333;-0.111697;1.4037952;-0.214548
295;4.9;-0.111697;1.4037952;-0.214548
296;4.91666667;-0.111697;1.4037952;-0.214548
297;4.93333333;-0.111697;1.4037952;-0.214548
298;4.95;-0.111697;1.4037952;-0.214548
299;4.96666667;-0.111697;1.4037952;-0.214548
300;4.98333333;-0.111697;1.4037952;-0.214548
301;5;-0.111697;1.4037952;-0.214548
302;5.01666667;-0.111697;1.4037952;-0.214548
303;5.03333333;-0.111697;1.4037952;-0.214548
304;5.05;-0.111697;1.4037952;-0.214548
305;5.06666667;-0.111697;1.4037952;-0.214548
306;5.08333333;-0.111697;1.4037952;-0.214548
307;5.1;-0.111697;1.4037952;-0.214548
308;5.11666667;-0.111697;1.4037952;-0.214548
309;5.13333333;-0.111697;1.4037952;-0.214548
310;5.15;-0.111697;1.4037952;-0.214548
311;5.16666667;-0.111697;1.4037952;-0.214548
312;5.18333333;-0.111697;1.4037952;-0.214548
313;5.2;-0.111697;1.4037952;-0.214548
314;5.21666667;-0.111697;1.4037952;-0.214548
315;5.23333333;-0.111697;1.4037952;-0.214548
316;5.25;-0.111697;1.4037952;-0.214548
317;5.26666667;-0.111697;1.4037952;-0.214548
318;5.28333333;-0.111697;1.4037952;-0.214548
319;5.3;-0.111697;1.4037952;-0.214548
320;5.31666667;-0.111697;1.4037952;-0.214548
321;5.33333333;-0.111697;1.4037952;-0.214548
322;5.35;-0.111697;1.4037952;-0.214548
323;5.36666667;-0.111697;1.4037952;-0.214548
324;5.38333333;-0.111697;1.4037952;-0.214548
325;5.4;-0.111697;1.4037952;-0.214548
326;5.41666667;-0.111697;1.4037952;-0.214548
327;5.43333333;-0.111697;1.4037952;-0.214548
328;5.45;-0.111697;1.4037952;-0.214548
329;5.46666667;-0.111697;1.4037952;-0.214548
330;5.48333333;-0.111697;1.4037952;-0.214548
331;5.5;-0.111697;1.4037952;-0.214548
332;5.51666667;-0.111697;1.4037952;-0.214548
333;5.53333333;-0.111697;1.4037952;-0.214548
334;5.55;-0.111697;1.4037952;-0.214548
335;5.56666667;-0.111697;1.4037952;-0.214548
336;5.58333333;-0.111697;1.4037952;-0.214548
337;5.6;-0.111697;1.4037952;-0.214548
338;5.61666667;-0.111697;1.4037952;-0.214548
339;5.63333333;-0.111697;1.4037952;-0.214548
340;5.65;-0.111697;1.4037952;-0.214548
341;5.66666667;-0.111697;1.4037952;-0.214548
342;5.68333333;-0.111697;1.4037952;-0.214548
343;5.7;-0.111697;1.4037952;-0.214548
344;5.71666667;-0.111697;1.4037952;-0.214548
345;5.73333333;-0.111697;1.4037952;-0.214548
346;5.75;-0.111697;1.4037952;-0.214548
347;5.76666667;-0.111697;1.4037952;-0.214548
348;5.78333333;-0.111697;1.4037952;-0.214548
349;5.8;-0.111697;1.4037952;-0.214548
350;5.81666667;-0.111697;1.4037952;-0.214548
351;5.83333333;-0.111697;1.4037952;-0.214548
352;5.85;-0.111697;1.4037952;-0.214548
353;5.86666667;-0.111697;1.4037952;-0.214548
354;5.88333333;-0.111697;1.4037952;-0.214548
355;5.9;-0.111697;1.4037952;-0.214548
356;5.91666667;-0.111697;1.4037952;-0.214548
357;5.93333333;-0.111697;1.4037952;-0.214548
358;5.95;-0.111697;1.4037952;-0.214548
359;5.96666667;-0.111697;1.4037952;-0.214548
360;5.98333333;-0.111697;1.4037952;-0.214548
361;6;-0.111697;1.4037952;-0.214548
362;6.01666667;-0.111697;1.4037952;-0.214548
363;6.03333333;-0.111697;1.4037952;-0.214548
364;6.05;-0.111697;1.4037952;-0.214548
365;6.06666667;-0.111697;1.4037952;-0.214548
366;6.08333333;-0.111697;1.4037952;-0.214548
367;6.1;-0.111697;1.4037952;-0.214548
368;6.11666667;-0.111697;1.4037952;-0.214548
369;6.13333333;-0.111697;1.4037952;-0.214548
370;6.15;-0.111697;1.4037952;-0.214548
371;6.16666667;-0.111697;1.4037952;-0.214548
372;6.18333333;-0.111697;1.4037952;-0.214548
373;6.2;-0.111697;1.4037952;-0.214548
374;6.21666667;-0.111697;1.4037952;-0.214548
375;6.23333333;-0.111697;1.4037952;-0.214548
376;6.25;-0.111697;1.4037952;-0.214548
377;6.26666667;-0.111697;1.4037952;-0.214548
378;6.28333333;-0.111697;1.4037952;-0.214548
379;6.3;-0.111697;1.4037952;-0.214548
380;6.31666667;-0.111697;1.4037952;-0.214548
381;6.33333333;-0.111697;1.4037952;-0.214548
382;6.35;-0.111697;1.4037952;-0.214548
383;6.36666667;-0.111697;1.4037952;-0.214548
384;6.38333333;-0.111697;1.4037952;-0.214548
385;6.4;-0.111697;1.4037952;-0.214548
386;6.41666667;-0.111697;1.4037952;-0.214548
387;6.43333333;-0.111697;1.4037952;-0.214548
388;6.45;-0.111697;1.4037952;-0.214548
389;6.46666667;-0.111697;1.4037952;-0.214548
390;6.48333333;-0.111697;1.4037952;-0.214548
391;6.5;-0.111697;1.4037952;-0.214548
392;6.51666667;-0.111697;1.4037952;-0.214548
393;6.53333333;-0.111697;1.4037952;-0.214548
394;6.55;-0.111697;1.4037952;-0.214548
395;6.56666667;-0.111697;1.4037952;-0.214548
396;6.58333333;-0.111697;1.4037952;-0.214548
397;6.6;-0.111697;1.4037952;-0.214548
398;6.61666667;-0.111697;1.4037952;-0.214548
399;6.63333333;-0.111697;1.4037952;-0.214548
400;6.65;-0.111697;1.4037952;-0.214548
401;6.66666667;-0.111697;1.4037952;-0.214548
402;6.68333333;-0.111697;1.4037952;-0.214548
403;6.7;-0.111697;1.4037952;-0.214548
404;6.71666667;-0.111697;1.4037952;-0.214548
405;6.73333333;-0.111697;1.4037952;-0.214548
406;6.75;-0.111697;1.4037952;-0.214548
407;6.76666667;-0.111697;1.4037952;-0.214548
408;6.78333333;-0.111697;1.4037952;-0.214548
409;6.8;-0.111697;1.4037952;-0.214548
