DataType=Vec3																								
version=3																								
OpenSimVersion=4.4-2022-07-23-0e9fedc																								
endheader																								
time	/bodyset/femur_r|position			/bodyset/femur_l|position			/bodyset/tibia_r|position			/bodyset/tibia_l|position			/bodyset/humerus_r|position			/bodyset/humerus_l|position			/bodyset/radius_r|position			/bodyset/radius_l|position		
43.73333333	-0.0641847	0.8497811	0.0779238	-0.0641847	0.8497811	-0.0779238	-0.0639132	0.44861852	0.07671751	-0.06369986	0.46041849	-0.07679338	-0.111697	1.4037952	0.214548	-0.111697	1.4037952	-0.214548	0.107995477	1.244964765	0.080526075	0.062571862	1.635853736	-0.124567953
43.75	-0.0641847	0.8497811	0.0779238	-0.0641847	0.8497811	-0.0779238	-0.0639132	0.44861852	0.07671751	-0.06369986	0.46041849	-0.07679338	-0.111697	1.4037952	0.214548	-0.111697	1.4037952	-0.214548	0.104940228	1.228444926	0.100215637	0.065500716	1.633750602	-0.123629615
43.76666667	-0.0641847	0.8497811	0.0779238	-0.0641847	0.8497811	-0.0779238	-0.0639132	0.44861852	0.07671751	-0.06369986	0.46041849	-0.07679338	-0.111697	1.4037952	0.214548	-0.111697	1.4037952	-0.214548	0.095380347	1.205939569	0.127254306	0.066580832	1.633098656	-0.123611961
43.78333333	-0.0641847	0.8497811	0.0779238	-0.0641847	0.8497811	-0.0779238	-0.0639132	0.44861852	0.07671751	-0.06369986	0.46041849	-0.07679338	-0.111697	1.4037952	0.214548	-0.111697	1.4037952	-0.214548	0.085891152	1.191159092	0.150602443	0.066289384	1.63403999	-0.124843058
43.8	-0.0641847	0.8497811	0.0779238	-0.0641847	0.8497811	-0.0779238	-0.0639132	0.44861852	0.07671751	-0.06369986	0.46041849	-0.07679338	-0.111697	1.4037952	0.214548	-0.111697	1.4037952	-0.214548	0.078408602	1.182370984	0.166488926	0.066186665	1.635025629	-0.12645899
43.81666667	-0.0641847	0.8497811	0.0779238	-0.0641847	0.8497811	-0.0779238	-0.0639132	0.44861852	0.07671751	-0.06369986	0.46041849	-0.07679338	-0.111697	1.4037952	0.214548	-0.111697	1.4037952	-0.214548	0.066095171	1.17140377	0.188299283	0.066971345	1.634962288	-0.127334091
43.83333333	-0.0641847	0.8497811	0.0779238	-0.0641847	0.8497811	-0.0779238	-0.0639132	0.44861852	0.07671751	-0.06369986	0.46041849	-0.07679338	-0.111697	1.4037952	0.214548	-0.111697	1.4037952	-0.214548	0.052038754	1.162654308	0.206123752	0.071269848	1.631577534	-0.126884801
43.85	-0.0641847	0.8497811	0.0779238	-0.0641847	0.8497811	-0.0779238	-0.0639132	0.44861852	0.07671751	-0.06369986	0.46041849	-0.07679338	-0.111697	1.4037952	0.214548	-0.111697	1.4037952	-0.214548	0.036069653	1.154382439	0.219793167	0.079020754	1.62383911	-0.124542872
43.86666667	-0.0641847	0.8497811	0.0779238	-0.0641847	0.8497811	-0.0779238	-0.0639132	0.44861852	0.07671751	-0.06369986	0.46041849	-0.07679338	-0.111697	1.4037952	0.214548	-0.111697	1.4037952	-0.214548	0.024390106	1.149566204	0.22742397	0.090326478	1.610121566	-0.119694956
43.88333333	-0.0641847	0.8497811	0.0779238	-0.0641847	0.8497811	-0.0779238	-0.0639132	0.44861852	0.07671751	-0.06369986	0.46041849	-0.07679338	-0.111697	1.4037952	0.214548	-0.111697	1.4037952	-0.214548	0.007675165	1.143517771	0.238567917	0.098841873	1.597808815	-0.115072668
43.9	-0.0641847	0.8497811	0.0779238	-0.0641847	0.8497811	-0.0779238	-0.0639132	0.44861852	0.07671751	-0.06369986	0.46041849	-0.07679338	-0.111697	1.4037952	0.214548	-0.111697	1.4037952	-0.214548	-0.007135336	1.139384648	0.247948662	0.111031314	1.576042325	-0.106769773
43.91666667	-0.0641847	0.8497811	0.0779238	-0.0641847	0.8497811	-0.0779238	-0.0639132	0.44861852	0.07671751	-0.06369986	0.46041849	-0.07679338	-0.111697	1.4037952	0.214548	-0.111697	1.4037952	-0.214548	-0.015007476	1.137425875	0.25356732	0.120309017	1.553609212	-0.097430176
43.93333333	-0.0641847	0.8497811	0.0779238	-0.0641847	0.8497811	-0.0779238	-0.0639132	0.44861852	0.07671751	-0.06369986	0.46041849	-0.07679338	-0.111697	1.4037952	0.214548	-0.111697	1.4037952	-0.214548	-0.027904255	1.134838865	0.260543074	0.125401149	1.527309525	-0.085174755
43.95	-0.0641847	0.8497811	0.0779238	-0.0641847	0.8497811	-0.0779238	-0.0639132	0.44861852	0.07671751	-0.06369986	0.46041849	-0.07679338	-0.111697	1.4037952	0.214548	-0.111697	1.4037952	-0.214548	-0.035431909	1.132873552	0.262159009	0.123559462	1.519696969	-0.079891708
43.96666667	-0.0641847	0.8497811	0.0779238	-0.0641847	0.8497811	-0.0779238	-0.0639132	0.44861852	0.07671751	-0.06369986	0.46041849	-0.07679338	-0.111697	1.4037952	0.214548	-0.111697	1.4037952	-0.214548	-0.044599342	1.130294996	0.264207249	0.11218332	1.528307134	-0.080041357
43.98333333	-0.0641847	0.8497811	0.0779238	-0.0641847	0.8497811	-0.0779238	-0.0639132	0.44861852	0.07671751	-0.06369986	0.46041849	-0.07679338	-0.111697	1.4037952	0.214548	-0.111697	1.4037952	-0.214548	-0.055973778	1.130482144	0.275102585	0.079513106	1.58572653	-0.124245846
44	-0.0641847	0.8497811	0.0779238	-0.0641847	0.8497811	-0.0779238	-0.0639132	0.44861852	0.07671751	-0.06369986	0.46041849	-0.07679338	-0.111697	1.4037952	0.214548	-0.111697	1.4037952	-0.214548	-0.061553537	1.130329663	0.279665652	0.024222041	1.637141891	-0.195398244
44.01666667	-0.0641847	0.8497811	0.0779238	-0.0641847	0.8497811	-0.0779238	-0.0639132	0.44861852	0.07671751	-0.06369986	0.46041849	-0.07679338	-0.111697	1.4037952	0.214548	-0.111697	1.4037952	-0.214548	-0.06205349	1.126734227	0.272163171	-0.004576486	1.650346804	-0.216353336
44.03333333	-0.0641847	0.8497811	0.0779238	-0.0641847	0.8497811	-0.0779238	-0.0639132	0.44861852	0.07671751	-0.06369986	0.46041849	-0.07679338	-0.111697	1.4037952	0.214548	-0.111697	1.4037952	-0.214548	-0.060370082	1.124993702	0.272286982	-0.025224727	1.657673443	-0.221074689
44.05	-0.0641847	0.8497811	0.0779238	-0.0641847	0.8497811	-0.0779238	-0.0639132	0.44861852	0.07671751	-0.06369986	0.46041849	-0.07679338	-0.111697	1.4037952	0.214548	-0.111697	1.4037952	-0.214548	-0.060126865	1.126074542	0.27793988	-0.032014301	1.660174251	-0.216526907
44.06666667	-0.0641847	0.8497811	0.0779238	-0.0641847	0.8497811	-0.0779238	-0.0639132	0.44861852	0.07671751	-0.06369986	0.46041849	-0.07679338	-0.111697	1.4037952	0.214548	-0.111697	1.4037952	-0.214548	-0.062232317	1.125662409	0.279498742	-0.032966538	1.66068657	-0.212781615
44.08333333	-0.0641847	0.8497811	0.0779238	-0.0641847	0.8497811	-0.0779238	-0.0639132	0.44861852	0.07671751	-0.06369986	0.46041849	-0.07679338	-0.111697	1.4037952	0.214548	-0.111697	1.4037952	-0.214548	-0.06539303	1.125072864	0.281924068	-0.032780677	1.66085158	-0.208233779
44.1	-0.0641847	0.8497811	0.0779238	-0.0641847	0.8497811	-0.0779238	-0.0639132	0.44861852	0.07671751	-0.06369986	0.46041849	-0.07679338	-0.111697	1.4037952	0.214548	-0.111697	1.4037952	-0.214548	-0.066330758	1.124642244	0.281954472	-0.03179931	1.660699662	-0.204364234
44.11666667	-0.0641847	0.8497811	0.0779238	-0.0641847	0.8497811	-0.0779238	-0.0639132	0.44861852	0.07671751	-0.06369986	0.46041849	-0.07679338	-0.111697	1.4037952	0.214548	-0.111697	1.4037952	-0.214548	-0.06601747	1.124372747	0.281611261	-0.028922187	1.659751246	-0.200411557
44.13333333	-0.0641847	0.8497811	0.0779238	-0.0641847	0.8497811	-0.0779238	-0.0639132	0.44861852	0.07671751	-0.06369986	0.46041849	-0.07679338	-0.111697	1.4037952	0.214548	-0.111697	1.4037952	-0.214548	-0.065658642	1.124627551	0.282653489	-0.024906545	1.658216456	-0.196254836
44.15	-0.0641847	0.8497811	0.0779238	-0.0641847	0.8497811	-0.0779238	-0.0639132	0.44861852	0.07671751	-0.06369986	0.46041849	-0.07679338	-0.111697	1.4037952	0.214548	-0.111697	1.4037952	-0.214548	-0.064962421	1.125469631	0.284733883	-0.019893578	1.656117146	-0.191052106
44.16666667	-0.0641847	0.8497811	0.0779238	-0.0641847	0.8497811	-0.0779238	-0.0639132	0.44861852	0.07671751	-0.06369986	0.46041849	-0.07679338	-0.111697	1.4037952	0.214548	-0.111697	1.4037952	-0.214548	-0.06404402	1.126505787	0.286906864	-0.017607071	1.655124293	-0.188969061
44.18333333	-0.0641847	0.8497811	0.0779238	-0.0641847	0.8497811	-0.0779238	-0.0639132	0.44861852	0.07671751	-0.06369986	0.46041849	-0.07679338	-0.111697	1.4037952	0.214548	-0.111697	1.4037952	-0.214548	-0.062445012	1.128882945	0.291371123	-0.01706892	1.654878361	-0.18905632
44.2	-0.0641847	0.8497811	0.0779238	-0.0641847	0.8497811	-0.0779238	-0.0639132	0.44861852	0.07671751	-0.06369986	0.46041849	-0.07679338	-0.111697	1.4037952	0.214548	-0.111697	1.4037952	-0.214548	-0.061484535	1.131475095	0.29573493	-0.016902806	1.654801792	-0.189494168
