DataRate=60		
DataType=Quaternion
version= 3		
OpenSimVersion= 4.1		
endheader		
time	r_humerus_imu	r_ulna_radius_hand_imu
35.86666666666667	 0.6881577, 0.011607893, 0.005175275, 0.7254532	 0.64091027, 0.34359956, 0.206196, -0.6547188
35.88333333333333	 0.68813986, 0.011589558, 0.005202498, 0.7254702	 0.63968784, 0.34678742, 0.20873268, -0.6534285
35.9	 0.6881293, 0.0115845455, 0.0052201194, 0.72548014	 0.638029, 0.35015228, 0.21223404, -0.65212667
35.916666666666664	 0.6881172, 0.011569307, 0.0052282456, 0.7254918	 0.6361502, 0.3534672, 0.2160327, -0.6509255
35.93333333333333	 0.6880947, 0.011566474, 0.0052368687, 0.72551316	 0.63394797, 0.35712382, 0.21958138, -0.64988977
35.95	 0.68807673, 0.011555933, 0.0052462085, 0.72553015	 0.63163394, 0.36123186, 0.2227264, -0.64880145
35.96666666666667	 0.68808234, 0.011537514, 0.0052516446, 0.72552514	 0.62906885, 0.36564758, 0.22624718, -0.64760053
35.983333333333334	 0.68806994, 0.011535835, 0.005261278, 0.72553694	 0.6263452, 0.3702915, 0.2304215, -0.6461283
36	 0.688048, 0.011538526, 0.0052698324, 0.7255576	 0.623513, 0.37503272, 0.23508403, -0.64445126
36.016666666666666	 0.68801767, 0.011525667, 0.0052907486, 0.72558653	 0.62087977, 0.37985727, 0.23909314, -0.64269066
36.03333333333333	 0.6880084, 0.011512469, 0.0052975873, 0.7255954	 0.6188527, 0.38440174, 0.24169782, -0.6409672
36.05	 0.6879959, 0.0114707025, 0.0053271465, 0.7256077	 0.61755025, 0.38841686, 0.24338762, -0.63916093
36.06666666666666	 0.6879875, 0.0114372205, 0.0053563877, 0.725616	 0.61664504, 0.39184102, 0.24522625, -0.63723916
36.083333333333336	 0.68797535, 0.011434903, 0.0053636036, 0.7256275	 0.6160197, 0.39486876, 0.24710633, -0.63524556
36.1	 0.6879512, 0.011433787, 0.0053756363, 0.72565025	 0.6153963, 0.3980664, 0.24876039, -0.63320524
36.11666666666667	 0.6879421, 0.011445305, 0.0053701596, 0.72565883	 0.61489743, 0.40152735, 0.24988288, -0.631059
36.13333333333333	 0.6879282, 0.011447621, 0.005380412, 0.7256719	 0.6144501, 0.4051238, 0.25085598, -0.6288062
36.15	 0.6879159, 0.011429803, 0.005404229, 0.72568357	 0.6139711, 0.40888643, 0.2526188, -0.62612724
36.166666666666664	 0.6879232, 0.011398835, 0.0054101194, 0.72567713	 0.61313486, 0.41324952, 0.2558194, -0.62277365
36.18333333333333	 0.68789583, 0.01138226, 0.0054206243, 0.7257032	 0.61217207, 0.41795892, 0.2590113, -0.6192487
36.2	 0.68789536, 0.011382055, 0.005425263, 0.72570366	 0.6109095, 0.4226209, 0.26241627, -0.6158888
36.21666666666667	 0.6878822, 0.011397752, 0.005432229, 0.7257158	 0.60923195, 0.4266124, 0.2659009, -0.6132987
36.233333333333334	 0.6878714, 0.011380662, 0.005438239, 0.7257264	 0.6071154, 0.43034148, 0.2694958, -0.6112195
36.25	 0.6878774, 0.011339213, 0.005450856, 0.72572124	 0.6048858, 0.43385822, 0.27301118, -0.609381
36.266666666666666	 0.6878558, 0.011305485, 0.005470779, 0.7257421	 0.6025429, 0.4372744, 0.27704516, -0.60743666
36.28333333333333	 0.68784624, 0.011306534, 0.005465262, 0.72575104	 0.6001433, 0.44057974, 0.28156105, -0.6053438
