sep=,
DeviceTag:,Xsens_4,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2023.0.0,,,,,,,,,,,,,,,,,
StartTime:,2023-06-20 14:10:10.000 +0200,,,,,,,,,,,,,,,,,
© Movella Technologies B. V. 2005-2023,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Status,
63, 156586735, 0.724332, 0.009078122, 0.015717495, 0.68921244, 0.01731085032224655, 0.25095778703689575, 10.251599311828613, 0.7953062653541565, 0.9086552858352661, -0.5939329266548157, 0, 
64, 156603402, 0.72442555, 0.009076969, 0.015827132, 0.68911165, 0.010644558817148209, 0.23645953834056854, 10.282901763916016, 0.831701934337616, 0.8718626499176025, -0.6080838441848755, 0, 
65, 156620069, 0.7245116, 0.009082804, 0.015939048, 0.6890184, -6.82448036968708E-4, 0.22395777702331543, 10.2710542678833, 0.882620096206665, 0.848388671875, -0.7041956186294556, 0, 
66, 156636736, 0.7246718, 0.00908692, 0.016049277, 0.6888474, 0.01548600010573864, 0.25711554288864136, 10.272614479064941, 0.8669451475143433, 0.8672011494636536, -0.6053048968315125, 0, 
67, 156653403, 0.7247901, 0.009109836, 0.016141811, 0.6887206, 0.018293257802724838, 0.2465219646692276, 10.291186332702637, 0.8813650608062744, 0.6859272718429565, -0.6281899213790894, 0, 
68, 156670070, 0.7249756, 0.0091190785, 0.016239097, 0.6885227, 0.010423067957162857, 0.23648083209991455, 10.259204864501953, 0.8351917266845703, 0.7885894775390625, -0.6688437461853027, 0, 
69, 156686737, 0.7249941, 0.009124881, 0.016345788, 0.68850076, 0.004098391160368919, 0.24552541971206665, 10.267199516296387, 0.8749874234199524, 0.8307543396949768, -0.5639659762382507, 0, 
70, 156703404, 0.72513705, 0.0091381045, 0.016450513, 0.68834746, 0.006706528831273317, 0.24231740832328796, 10.296643257141113, 0.8995628356933594, 0.8072930574417114, -0.6381403803825378, 0, 
71, 156720071, 0.7253123, 0.009142964, 0.016560525, 0.6881602, -0.011463699862360954, 0.23486295342445374, 10.258943557739258, 0.8853093385696411, 0.8824151158332825, -0.6569784879684448, 0, 
72, 156736738, 0.7253569, 0.00915173, 0.016670467, 0.68811035, -5.975899985060096E-4, 0.23885950446128845, 10.269170761108398, 0.9163007140159607, 0.8429075479507446, -0.6112470626831055, 0, 
73, 156753405, 0.7254987, 0.009162332, 0.016772548, 0.68795836, 0.018727261573076248, 0.22844476997852325, 10.285326957702637, 0.8875632286071777, 0.8134272694587708, -0.6743567585945129, 0, 
74, 156770072, 0.7252121, 0.009154715, 0.016877692, 0.6882578, -0.005883647128939629, 0.23629102110862732, 10.282934188842773, 0.8412683010101318, 0.8461219668388367, -0.5660790801048279, 0, 
75, 156786739, 0.7248757, 0.009159287, 0.01697768, 0.6886097, -0.00564324576407671, 0.24616481363773346, 10.280029296875, 0.8867436051368713, 0.752405047416687, -0.6270372271537781, 0, 
76, 156803406, 0.72494495, 0.009174672, 0.017061872, 0.68853444, 0.0032750172540545464, 0.2379329651594162, 10.275813102722168, 0.8470439314842224, 0.698772132396698, -0.6342601180076599, 0, 
77, 156820073, 0.7251935, 0.009188924, 0.01714617, 0.6882702, 0.018854640424251556, 0.24390926957130432, 10.255878448486328, 0.834711492061615, 0.7410202622413635, -0.6634842753410339, 0, 
78, 156836740, 0.7252233, 0.009199028, 0.017247096, 0.6882363, 0.025363504886627197, 0.25414830446243286, 10.270490646362305, 0.9107107520103455, 0.8102192878723145, -0.6019753217697144, 0, 
79, 156853407, 0.7252781, 0.0092181135, 0.017330322, 0.68817616, -0.002955283969640732, 0.23613134026527405, 10.297819137573242, 0.8729895949363708, 0.6911394596099854, -0.5978644490242004, 0, 
80, 156870074, 0.72539294, 0.009235613, 0.017431049, 0.68805224, 0.007630442269146442, 0.24703076481819153, 10.252964973449707, 0.9501607418060303, 0.7998014092445374, -0.6072387099266052, 0, 
81, 156886741, 0.7253573, 0.009240804, 0.017535102, 0.6880873, 0.015259799547493458, 0.24902842938899994, 10.253114700317383, 0.9182472229003906, 0.8499509692192078, -0.6490641832351685, 0, 
82, 156903408, 0.72556055, 0.009245718, 0.017621165, 0.6878707, 0.010465861298143864, 0.24666652083396912, 10.270522117614746, 0.8205348253250122, 0.8128126263618469, -0.6045749187469482, 0, 
83, 156920075, 0.72563744, 0.0092510795, 0.017713685, 0.6877871, 0.0037930039688944817, 0.23608195781707764, 10.263330459594727, 0.8662406802177429, 0.8247608542442322, -0.5944066643714905, 0, 
84, 156936742, 0.72578764, 0.009250849, 0.017805092, 0.6876263, 0.012579577974975109, 0.2456444799900055, 10.241374015808105, 0.8330850005149841, 0.8647422194480896, -0.5886310338973999, 0, 
85, 156953409, 0.7258707, 0.009252206, 0.017907538, 0.68753576, 0.014580647461116314, 0.25995713472366333, 10.275955200195312, 0.9020857214927673, 0.9058123230934143, -0.5547582507133484, 0, 
86, 156970076, 0.7259646, 0.009247485, 0.018011888, 0.68743396, 0.012765390798449516, 0.23101413249969482, 10.255552291870117, 0.88482266664505, 0.9512491822242737, -0.5833291411399841, 0, 
87, 156986743, 0.7260495, 0.00923195, 0.018096346, 0.68734235, 0.013750828802585602, 0.2559479773044586, 10.267900466918945, 0.7439401149749756, 0.904467761516571, -0.6359633207321167, 0, 
88, 157003410, 0.7261371, 0.009235112, 0.018188316, 0.6872474, 0.023842990398406982, 0.2612571120262146, 10.26989459991455, 0.8760952353477478, 0.8606764078140259, -0.6176246404647827, 0, 
89, 157020077, 0.7263069, 0.009230427, 0.01828645, 0.6870654, 0.005572051275521517, 0.24920813739299774, 10.28081226348877, 0.8635064959526062, 0.955251157283783, -0.51146000623703, 0, 
90, 157036744, 0.7263833, 0.009233633, 0.018367533, 0.6869824, 0.008609742857515812, 0.23265676200389862, 10.279500961303711, 0.8359792232513428, 0.8147206902503967, -0.6609869003295898, 0, 
91, 157053411, 0.72635317, 0.009233619, 0.018457837, 0.68701196, 0.018876483663916588, 0.22906993329524994, 10.245985984802246, 0.8767675161361694, 0.8632695078849792, -0.6061629056930542, 0, 
92, 157070078, 0.7264632, 0.009226128, 0.018543145, 0.6868934, 0.01240728609263897, 0.24339570105075836, 10.241904258728027, 0.8121339678764343, 0.9073362946510315, -0.5771053433418274, 0, 
93, 157086745, 0.7265142, 0.0092313085, 0.0186376, 0.6868367, -0.0028525309171527624, 0.2554629147052765, 10.270652770996094, 0.9309128522872925, 0.8839647173881531, -0.6951414942741394, 0, 
94, 157103412, 0.7265905, 0.009230299, 0.018724287, 0.6867536, 0.007941767573356628, 0.2406107634305954, 10.28962516784668, 0.8657093048095703, 0.8855335712432861, -0.656562328338623, 0, 
95, 157120079, 0.7266671, 0.009223493, 0.018808505, 0.68667036, 0.010813853703439236, 0.2583827078342438, 10.233452796936035, 0.8306455016136169, 0.908636212348938, -0.6203780174255371, 0, 
96, 157136746, 0.7267324, 0.009218308, 0.018891936, 0.6865992, 0.020050736144185066, 0.26008859276771545, 10.230037689208984, 0.840154230594635, 0.9017399549484253, -0.587376058101654, 0, 
97, 157153413, 0.72663635, 0.009204841, 0.018981744, 0.6866985, 0.007151521742343903, 0.24635949730873108, 10.285100936889648, 0.8466662764549255, 0.9465301632881165, -0.6165681481361389, 0, 
98, 157170080, 0.72671914, 0.0091911815, 0.019064343, 0.6866087, 0.008072130382061005, 0.2586610019207001, 10.271150588989258, 0.8041107058525085, 0.9525876045227051, -0.6261856555938721, 0, 
