sep=,
DeviceTag:,Xsens_2,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2022.0.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Euler),,,,,,,,,,,,,,,,,
StartTime:,2023-05-16 13:58:40.381 +0200,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2023,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
718, 975736409, -166.99534606933594, 1.875748634338379, 122.63957214355469, -0.11477678, -0.21024436, -0.35813904, 0
719, 975753076, -166.98178100585938, 1.8931410312652588, 122.64190673828125, -0.023919491, -0.17376219, -0.37687492, 0
720, 975769743, -166.9699249267578, 1.905363917350769, 122.63469696044922, -0.16171174, -0.20180131, -0.44420528, 0
721, 975786410, -166.96038818359375, 1.9193676710128784, 122.61919403076172, -0.084735855, -0.1750433, -0.4375038, 0
722, 975803077, -166.94729614257812, 1.9270176887512207, 122.60405731201172, -0.026442282, -0.18773974, -0.39326668, 0
723, 975819744, -166.9198760986328, 1.9251550436019897, 122.58789825439453, 0.008482819, -0.17224486, -0.30617523, 0
724, 975836411, -166.8768310546875, 1.9229236841201782, 122.57148742675781, -0.037782937, -0.2057626, -0.33746243, 0
725, 975853078, -166.841064453125, 1.920253038406372, 122.55060577392578, -0.11713702, -0.18315837, -0.36992073, 0
726, 975869745, -166.8199005126953, 1.9172966480255127, 122.53632354736328, -0.11181339, -0.15531991, -0.38220406, 0
727, 975886412, -166.82403564453125, 1.9176406860351562, 122.5276107788086, -0.17516132, -0.17700669, -0.4463501, 0
728, 975903079, -166.8262176513672, 1.9243477582931519, 122.5201644897461, -0.15775147, -0.19716495, -0.36712933, 0
729, 975919746, -166.81781005859375, 1.9337395429611206, 122.51500701904297, -0.07477951, -0.121046394, -0.42538166, 0
730, 975936413, -166.80316162109375, 1.935829758644104, 122.5094985961914, -0.11369936, -0.15846516, -0.46173096, 0
731, 975953080, -166.78836059570312, 1.930831789970398, 122.4985122680664, -0.14587724, -0.2159635, -0.44337368, 0
732, 975969747, -166.78697204589844, 1.9278733730316162, 122.48693084716797, -0.12631544, -0.13639517, -0.36402035, 0
733, 975986414, -166.7688446044922, 1.9263722896575928, 122.48124694824219, -0.061064634, -0.081808046, -0.29630947, 0
734, 976003081, -166.73695373535156, 1.922276258468628, 122.47529602050781, -0.04092603, -0.122370616, -0.37782383, 0
735, 976019748, -166.7121124267578, 1.9131953716278076, 122.46733856201172, -0.14771938, -0.24014662, -0.4867735, 0
736, 976036415, -166.71533203125, 1.9120138883590698, 122.45354461669922, -0.23117897, -0.3244375, -0.43435192, 0
737, 976053082, -166.7451934814453, 1.9200481176376343, 122.45000457763672, -0.05427072, -0.19813564, -0.35874367, 0
738, 976069749, -166.7807159423828, 1.9308420419692993, 122.44863891601562, -0.034318235, -0.1420601, -0.33084488, 0
739, 976086416, -166.783447265625, 1.9337962865829468, 122.43878173828125, -0.074586384, -0.17632246, -0.3429861, 0
740, 976103083, -166.77163696289062, 1.9361740350723267, 122.42827606201172, -0.059400216, -0.12876056, -0.37622356, 0
741, 976119750, -166.77210998535156, 1.9405447244644165, 122.42312622070312, -0.124933966, -0.13931037, -0.43257427, 0
