4.08964747412432-4.44089209850063e-16i,-130.505281707372-7.105427357601e-15i,146.660158197212+0i
35.9240696394503+1.77635683940025e-15i,-125.583223918923-7.105427357601e-15i,158.326568077661-7.105427357601e-15i
69.3876202864951-3.5527136788005e-15i,-116.211602625445+3.5527136788005e-15i,163.025581043935+1.4210854715202e-14i
88.0597222317117+0i,-133.080186540433+0i,169.896239897289+7.105427357601e-15i
60.0144437534871-3.5527136788005e-15i,-166.937552246475+0i,167.23726445449-7.105427357601e-15i
11.5089429090532+0i,-206.763331905155+0i,150.507664951448+7.105427357601e-15i
22.150279588606+1.77635683940025e-15i,-228.307956303597+7.105427357601e-15i,161.123563260706-7.105427357601e-15i
102.957339619382+3.5527136788005e-15i,-227.462016576975+0i,203.481947305876+7.105427357601e-15i
162.882779481791+0i,-208.699244244975+0i,240.162136008401+1.4210854715202e-14i
130.803669673972+0i,-203.451583825537-7.105427357601e-15i,262.033248082492+0i
50.6085765994733-1.77635683940025e-15i,-219.820534840547+0i,287.403849792098-1.4210854715202e-14i
-10.530842352467+8.88178419700125e-16i,-231.827461524156+0i,322.289663346537+0i
-19.2631066158263-1.77635683940025e-15i,-210.781853190891+0i,340.054689172892+0i
-10.2551946630753+4.44089209850063e-16i,-163.298108912102-7.105427357601e-15i,325.081957973945+0i
-10.3639931855808-1.33226762955019e-15i,-115.145297323008+1.06581410364015e-14i,298.529900635349+0i
-43.5149806740576+1.77635683940025e-15i,-90.5111452614277-3.5527136788005e-15i,284.235151808436-2.8421709430404e-14i
-89.579911760147-3.5527136788005e-15i,-100.094949664879+0i,286.635514150419+0i
-125.863658058481-7.105427357601e-15i,-111.582625092532+0i,285.381055091926+0i
-125.770528131964+0i,-81.2292590211366+0i,269.64346079154+1.4210854715202e-14i
-97.2019897988524-3.5527136788005e-15i,-16.4553021051769+8.88178419700125e-16i,248.363330887776+0i
-54.2152919711929+0i,43.6727386107695+1.77635683940025e-15i,229.164485596922-1.4210854715202e-14i
-30.2524805109949+4.44089209850063e-16i,70.7674481208965+0i,204.209665940136+7.105427357601e-15i
-38.7278854870257+0i,86.9801688310189-7.105427357601e-15i,168.99400515259+0i
-66.7510649328115+0i,104.438997099791+0i,125.419522039421+3.5527136788005e-15i
-80.3577110055269-3.5527136788005e-15i,120.877895677155+0i,82.9776875037244+3.5527136788005e-15i
-70.3593816383193-3.5527136788005e-15i,136.017884063983+0i,32.8772589697887+0i
-69.9647397521851+0i,159.879197919983-7.105427357601e-15i,-25.5505810343179-1.77635683940025e-15i
-106.56137119791+0i,186.144224426272+0i,-87.9445506636177+0i
-149.843162779379-7.105427357601e-15i,197.50910073681+7.105427357601e-15i,-137.127852922435+0i
-178.174510596914+0i,187.648809808623+0i,-173.780863691972-7.105427357601e-15i
-183.686779854629+0i,176.167844151239+0i,-204.225420383605+7.105427357601e-15i
-181.933634166942+0i,181.235611997555+0i,-230.284340971253+7.105427357601e-15i
-173.97058352549-7.105427357601e-15i,201.104407241229-7.105427357601e-15i,-256.594604310581-1.4210854715202e-14i
-170.110150082379-7.105427357601e-15i,215.194778862489-7.105427357601e-15i,-280.624964082027+1.4210854715202e-14i
-169.401049555748+7.105427357601e-15i,201.584130274008+7.105427357601e-15i,-303.40496891786-1.4210854715202e-14i
-167.451322882753-7.105427357601e-15i,171.722227476925+7.105427357601e-15i,-323.309037588137-1.4210854715202e-14i
-172.562327474791+0i,138.213277343237+0i,-342.448436849786+0i
-197.374730923404+7.105427357601e-15i,109.999669660553+3.5527136788005e-15i,-359.929242446118+1.4210854715202e-14i
-219.129523093845+0i,88.1738946367495+0i,-372.796471902629+0i
-221.561113877249+7.105427357601e-15i,76.899490409398+3.5527136788005e-15i,-378.900423839691+1.4210854715202e-14i
-204.365011576702+0i,73.6984237642464+0i,-369.36023817931-1.4210854715202e-14i
-188.974149106698-7.105427357601e-15i,73.0395500246333-3.5527136788005e-15i,-342.862245235617+0i
-165.499839794406-7.105427357601e-15i,81.7580557990669+0i,-311.930907354278+1.4210854715202e-14i
-137.365444282762-7.105427357601e-15i,92.3510839462012+0i,-287.581966842459+0i
-118.457846381061+3.5527136788005e-15i,93.2662296790685+3.5527136788005e-15i,-262.179052719025-1.4210854715202e-14i
-125.496230658336+3.5527136788005e-15i,78.7111086724134-3.5527136788005e-15i,-244.477589476322+7.105427357601e-15i
-147.97763412809-7.105427357601e-15i,59.3510769102949+1.77635683940025e-15i,-230.581383675288-7.105427357601e-15i
-159.400600235894+0i,44.7839165990364+1.77635683940025e-15i,-224.510468344588+0i
-166.374137938609+7.105427357601e-15i,36.6363429689538-1.77635683940025e-15i,-208.84651195487-7.105427357601e-15i
-169.76141959439+0i,31.6622121089463+0i,-186.684452151252-7.105427357601e-15i
-174.567144881269-7.105427357601e-15i,16.998886713846+8.88178419700125e-16i,-163.463137558785+7.105427357601e-15i
-175.628107347516+0i,-3.00370107924157+0i,-150.852582490484+7.105427357601e-15i
-173.238636560989+7.105427357601e-15i,-15.7421655128319+0i,-150.934926741709-7.105427357601e-15i
-161.576665816979+0i,-12.5799459359572-4.44089209850063e-16i,-153.482193240835-7.105427357601e-15i
-135.042713293503-7.105427357601e-15i,-8.96945579889961+2.22044604925031e-16i,-144.125167289979+0i
-99.7964829705769+0i,-16.2422584790214+0i,-122.167704722322-7.105427357601e-15i
-75.171791457821+0i,-33.0044316236759+1.77635683940025e-15i,-102.471493264469+0i
-74.1876566642946+0i,-46.6847861901679+0i,-91.8868558799646+7.105427357601e-15i
-99.1600637268169+0i,-53.8814624125374+0i,-79.742639060944+0i
-122.300297707604+0i,-62.5472055119549+1.77635683940025e-15i,-60.235738866894+0i
-130.556320443235+0i,-66.6218789255026+0i,-50.7912434485532+0i
-131.601007597079-7.105427357601e-15i,-65.8676580579813+0i,-55.0225826883861-1.77635683940025e-15i
-119.494516584232-7.105427357601e-15i,-52.5807741245103+0i,-55.1348515498524+0i
-104.059272975614+3.5527136788005e-15i,-42.3055588085883+0i,-51.1486323104349+1.77635683940025e-15i
-89.7603878507919+3.5527136788005e-15i,-38.6502079110319+0i,-50.0512933367202-1.77635683940025e-15i
-90.4667839974853+0i,-46.8766668840101+0i,-47.0134158358318-1.77635683940025e-15i
-95.1547246266852+0i,-58.6063768789314+3.5527136788005e-15i,-41.2658090884395+0i
-104.369237203427-3.5527136788005e-15i,-64.4996699160658-3.5527136788005e-15i,-38.716745101506+3.5527136788005e-15i
-118.83192944859+7.105427357601e-15i,-63.2999741449053+0i,-43.1794847463667+0i
-130.443070525837+0i,-57.5604467587259-1.77635683940025e-15i,-49.8417831693211+1.77635683940025e-15i
-126.385527894593-7.105427357601e-15i,-46.9422477058384+1.77635683940025e-15i,-51.7009084624272+0i
-113.955793117399+3.5527136788005e-15i,-40.4222485934416+0i,-48.9716110142608-1.77635683940025e-15i
-95.8995352629834+3.5527136788005e-15i,-41.2980339813254+1.77635683940025e-15i,-41.6177340938877+0i
-78.5950005104034+0i,-44.4507234534535-3.5527136788005e-15i,-40.1194349010388+0i
-72.6867059807833-1.77635683940025e-15i,-41.1680282391064-1.77635683940025e-15i,-54.5314383243518+0i
-90.9090905296409+3.5527136788005e-15i,-37.6136423193257+1.77635683940025e-15i,-74.0821394909919+0i
-117.830706936114-7.105427357601e-15i,-40.27175400126+0i,-87.5141323748493+0i
-128.862494222987+0i,-46.3150948431215+0i,-85.1968439926308+3.5527136788005e-15i
-123.263085200848+0i,-48.8390832501179+1.77635683940025e-15i,-78.0514095925675-7.105427357601e-15i
-113.197182682707-3.5527136788005e-15i,-46.5480236811816-1.77635683940025e-15i,-80.4386195762214+3.5527136788005e-15i
-110.618245284302+3.5527136788005e-15i,-41.8068380513591-1.77635683940025e-15i,-93.7643584163342-3.5527136788005e-15i
-104.552896687967+3.5527136788005e-15i,-47.566776848445+0i,-94.6740708785132+0i
-87.1333248277257-3.5527136788005e-15i,-52.1039740216788+0i,-79.9990024880645-3.5527136788005e-15i
-63.7223877411396-1.77635683940025e-15i,-43.5060511235506+0i,-61.8206692274147+0i
-59.7471819535366+1.77635683940025e-15i,-22.8805328826814+0i,-65.8503754684287+0i
-87.7063710997187-7.105427357601e-15i,-20.0817357563153-4.44089209850063e-16i,-75.3588770258873+0i
-125.125693063757+0i,-43.253839048651+0i,-82.3781465711997+3.5527136788005e-15i
-135.786204330478+7.105427357601e-15i,-64.0564200987082+0i,-77.5967094053275-3.5527136788005e-15i
