sep=															
DeviceTag:	Xsens_1														
FirmwareVersion:	2.2.1														
AppVersion:	2023.0.0														
StartTime:	2023-07-17 14:57:19.000 +0200														
© Movella Technologies B. V. 2005-2023															
PacketCounter	SampleTimeFine	Quat_W	Quat_X	Quat_Y	Quat_Z	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Status
1937	1146041110	0.026754407	-0.091857083	0.591866325	0.800337886	-9.247407737	3.43368336	-0.908132736	0.991831464	0.217881998	-1.564925053	1.072004116	0.221795358	-0.277908625	0
1938	1146057777	0.027035276	-0.091714739	0.591870236	0.800341879	-9.266034774	3.435588368	-0.894632827	1.087792634	0.215322015	-1.457278266	1.070227116	0.219987671	-0.278982675	0
1939	1146074444	0.027305628	-0.091623468	0.591875844	0.800339008	-9.257980661	3.448030022	-0.906643699	1.079365099	-0.044322862	-1.189151515	1.07307739	0.221119464	-0.279111796	0
1940	1146091111	0.027563951	-0.091573622	0.591857908	0.800349122	-9.276766218	3.432363874	-0.91353164	1.006158062	-0.131956394	-0.962122698	1.069577114	0.222440463	-0.281206739	0
1941	1146107778	0.027778863	-0.091517414	0.591918478	0.800303325	-9.277897979	3.443480746	-0.892995709	0.857093423	-0.134229105	-0.753542188	1.074367212	0.22136887	-0.276336205	0
1942	1146124445	0.027994709	-0.091459652	0.591900492	0.80031571	-9.269165236	3.452477166	-0.892411518	1.212715655	0.004540624	-0.736086279	1.07339613	0.220973998	-0.280979835	0
1943	1146141112	0.028193399	-0.091405873	0.591819942	0.800374446	-9.271782821	3.452318849	-0.889834385	1.614239339	0.111721361	-0.589426143	1.07396506	0.222295789	-0.278366886	0
1944	1146157779	0.028402627	-0.091339346	0.591762334	0.800417238	-9.238711882	3.419240259	-0.87022287	1.634565387	0.061509173	-0.69675706	1.070032864	0.218705546	-0.279338349	0
1945	1146174446	0.028594071	-0.091331015	0.591659339	0.800487509	-9.247557847	3.447816683	-0.837399359	1.749148133	-0.097990464	-0.349211301	1.070633793	0.221030575	-0.277130227	0
1946	1146191113	0.028744897	-0.091300532	0.591488598	0.800611755	-9.235501117	3.420430968	-0.867383898	2.487604386	0.151081134	-0.145939931	1.071650158	0.219927653	-0.277579989	0
1947	1146207780	0.028889487	-0.091244789	0.591302433	0.80075041	-9.24560056	3.40544775	-0.897903647	2.679959217	0.302901136	-0.195762702	1.072799821	0.221832031	-0.281242123	0
1948	1146224447	0.029038757	-0.091186223	0.591132431	0.80087719	-9.25487874	3.427668666	-0.912916115	2.416233241	0.339993443	-0.258984334	1.071793184	0.219935831	-0.279981581	0
1949	1146241114	0.029199747	-0.091106484	0.590987542	0.800987333	-9.256851457	3.440466573	-0.924409223	2.140279491	0.432473136	-0.437057053	1.073104211	0.220809544	-0.278768102	0
1950	1146257781	0.029307911	-0.091027557	0.590881948	0.801070255	-9.261371011	3.438320168	-0.945717474	2.070913439	0.53010841	-0.141560351	1.071610395	0.219478298	-0.278035964	0
1951	1146274448	0.02932981	-0.090990043	0.590741924	0.80117698	-9.285585597	3.421872244	-0.927289406	2.255972044	0.674570091	0.52239475	1.071056619	0.219237217	-0.27896733	0
1952	1146291115	0.029256259	-0.091020666	0.590595735	0.801283962	-9.266344074	3.441031903	-0.929915997	2.155266631	0.706418627	1.323808568	1.074048058	0.221991313	-0.277399457	0
1953	1146307782	0.029118561	-0.091102716	0.590467893	0.801373865	-9.263846874	3.413370116	-0.932096686	1.97144008	0.66479091	1.874703479	1.070481212	0.22170655	-0.277147423	0
1954	1146324449	0.028977843	-0.091211407	0.590368506	0.801439823	-9.237281113	3.413673147	-0.919001458	1.757550607	0.504143295	1.982345463	1.073680482	0.218330831	-0.280125027	0
1955	1146341116	0.028849264	-0.091324798	0.590257251	0.801513492	-9.218313412	3.415676966	-0.908441583	1.74313712	0.473214278	1.930540562	1.070237613	0.222789015	-0.279318555	0
1956	1146357783	0.028717196	-0.091426978	0.590200429	0.801548429	-9.238046754	3.422716069	-0.921903086	1.564977319	0.435454464	1.891959986	1.071689327	0.222997669	-0.278063362	0
1957	1146374450	0.028578924	-0.091536624	0.590109932	0.801607485	-9.255806132	3.396995526	-0.920051273	1.515377695	0.546625136	1.949096978	1.071533074	0.219626098	-0.278993687	0
1958	1146391117	0.028420044	-0.091660951	0.590033187	0.801655418	-9.258476716	3.399671335	-0.93579487	1.489708954	0.505237952	2.123002609	1.071174282	0.221592352	-0.27800449	0
1959	1146407784	0.028252664	-0.091806028	0.589969387	0.801691688	-9.25685531	3.404299847	-0.90600068	1.320355953	0.435412634	2.238210363	1.071887098	0.220195901	-0.278948447	0
1960	1146424451	0.028077865	-0.091976371	0.589919088	0.801715317	-9.24261227	3.408923646	-0.899919389	1.188728835	0.320127024	2.372810769	1.072193179	0.222619548	-0.278973869	0
1961	1146441118	0.027882974	-0.092141559	0.589891975	0.801723101	-9.246283927	3.436586206	-0.902882187	1.127171213	0.373507338	2.458420833	1.07377495	0.221286325	-0.2779682	0
1962	1146457785	0.027690044	-0.092302205	0.589825816	0.801759983	-9.227853019	3.456204359	-0.905069623	1.241229689	0.481429228	2.437613437	1.074517103	0.221069999	-0.280888989	0
1963	1146474452	0.027501062	-0.092435771	0.589740925	0.801813545	-9.249044846	3.465069568	-0.918468389	1.44465543	0.613247709	2.323793432	1.07121414	0.223062609	-0.277553252	0
1964	1146491119	0.02731499	-0.092540814	0.589662408	0.801865533	-9.239292294	3.474456669	-0.910491414	1.652905674	0.672975619	2.212097124	1.07238648	0.218980055	-0.278852094	0
1965	1146507786	0.027122129	-0.092649396	0.589538011	0.801951004	-9.231477729	3.436083975	-0.944191795	1.799163819	0.776678727	2.27516768	1.071183068	0.218542311	-0.279363629	0
1966	1146524453	0.026936427	-0.092755651	0.589413415	0.802036561	-9.242247005	3.46439949	-0.949202511	1.738052186	0.786858494	2.219421794	1.072232547	0.221712089	-0.279892833	0
1967	1146541120	0.026748323	-0.092857247	0.589345442	0.802081049	-9.248758974	3.47621281	-0.95988564	1.443761503	0.739263587	2.189122885	1.07287012	0.222446237	-0.278698565	0
1968	1146557787	0.026558963	-0.092985977	0.589272569	0.802125969	-9.222605901	3.480668519	-0.953223552	1.446547171	0.603375835	2.307490508	1.071155296	0.219372297	-0.276746506	0
1969	1146574454	0.02639823	-0.093090712	0.589211534	0.802163961	-9.212144215	3.456544428	-0.942524389	1.457894005	0.58832454	2.051868814	1.070375958	0.221000438	-0.277518918	0
1970	1146591121	0.026269351	-0.093173282	0.589187887	0.802175975	-9.222292996	3.441652247	-0.932996654	1.180501692	0.568411264	1.758387398	1.073774688	0.221574076	-0.280273034	0
1971	1146607788	0.026179815	-0.093234746	0.589150803	0.802198997	-9.20954982	3.471605436	-0.934859657	1.185983353	0.580235399	1.452196338	1.075366977	0.220724323	-0.279323154	0
1972	1146624455	0.026110517	-0.093256237	0.58910872	0.802229662	-9.209718509	3.495623549	-0.925672834	1.239895374	0.731927354	1.180024032	1.073177487	0.219912378	-0.279506403	0
1973	1146641122	0.026043316	-0.09324974	0.589102322	0.8022373	-9.22663784	3.495692147	-0.94025257	1.045895717	0.836593862	1.037036929	1.073072402	0.221011232	-0.276954867	0
1974	1146657789	0.025932488	-0.093270154	0.58911436	0.802229677	-9.240504357	3.484539325	-0.954499006	0.979234262	0.813658834	1.385715551	1.074589381	0.22306572	-0.278290582	0
1975	1146674456	0.025765005	-0.093367998	0.589072441	0.802254474	-9.241546529	3.525736717	-0.940876911	1.202542506	0.682360949	2.036755438	1.072976464	0.221798369	-0.277561806	0
1976	1146691123	0.025768616	-0.093299447	0.589197056	0.802170818	-9.183950612	3.431162543	-0.947099652	0.087614799	0.829454289	0.302495361	1.076249518	0.220740185	-0.280335817	0
1977	1146707790	0.025760655	-0.093219863	0.589133005	0.802227367	-9.230595162	3.497638113	-0.923962905	1.43609714	1.085447653	0.440689387	1.073471286	0.220527992	-0.277582015	0
1978	1146724457	0.025748807	-0.09309132	0.589034294	0.802315154	-9.143470659	3.438137088	-0.928589907	1.867754296	1.346625715	0.303107155	1.074059876	0.221338729	-0.276095888	0
1979	1146741124	0.025830011	-0.092853219	0.588960006	0.802394667	-9.214426277	3.45007906	-0.904919817	1.704815191	1.599314714	-0.67843877	1.070570607	0.219193963	-0.276983461	0
1980	1146757791	0.025955138	-0.092602751	0.588924749	0.802445451	-9.220060237	3.503366234	-0.917472943	1.493002276	1.445324209	-0.992348896	1.071286811	0.221190685	-0.279174382	0
1981	1146774458	0.026115388	-0.092367978	0.588948859	0.802449615	-9.242962899	3.487041747	-0.925379146	1.026806331	1.185910901	-1.166717042	1.073993348	0.221318627	-0.276388779	0
1982	1146791125	0.026322401	-0.092148898	0.589036763	0.802403517	-9.246577765	3.461433396	-0.923712425	0.54205203	0.874831706	-1.405192108	1.070950878	0.224513461	-0.277075338	0
1983	1146807792	0.026560649	-0.091978813	0.589149207	0.802332625	-9.268502367	3.463159388	-0.923536312	0.233061487	0.495150207	-1.408999025	1.071785058	0.220108723	-0.278191525	0
1984	1146824459	0.026772973	-0.091868073	0.589283506	0.802239624	-9.255985444	3.448518852	-0.917638243	-0.049858404	0.279528153	-1.047077177	1.074832539	0.219650701	-0.27920285	0
1985	1146841126	0.026939231	-0.091761918	0.589431612	0.802137397	-9.211403011	3.414028263	-0.917875888	-0.04532925	0.383369044	-0.770459828	1.075739619	0.222432736	-0.278030388	0
1986	1146857793	0.027129901	-0.091655673	0.589529852	0.802070919	-9.202648206	3.447304506	-0.890379292	0.339078169	0.317970094	-0.872623211	1.071976426	0.221258994	-0.278318178	0
1987	1146874460	0.027323239	-0.091534203	0.589598866	0.802027498	-9.225531437	3.454787067	-0.865761953	0.575018542	0.407156939	-0.928678213	1.073030914	0.220173823	-0.277811084	0
1988	1146891127	0.027525285	-0.091421702	0.589635712	0.802006333	-9.235098185	3.443145333	-0.875440744	0.819332686	0.340350363	-0.919540159	1.076440145	0.221190111	-0.277251763	0
1989	1146907794	0.027718264	-0.091327317	0.589634584	0.802011269	-9.242738086	3.469277444	-0.901490656	1.012561977	0.326840163	-0.778779976	1.071678326	0.221028866	-0.279156705	0
1990	1146924461	0.027886744	-0.091242376	0.58965874	0.801997337	-9.248907072	3.466452688	-0.912181843	0.921821413	0.315708317	-0.609603114	1.069328331	0.220821914	-0.280722546	0
1991	1146941128	0.028042945	-0.091169354	0.589736748	0.801942835	-9.239054288	3.465228305	-0.931592618	0.642754802	0.214311681	-0.516597931	1.073111845	0.219197496	-0.278652339	0
1992	1146957795	0.028171976	-0.091138976	0.589754321	0.801928842	-9.241474186	3.467186513	-0.932074844	0.77475699	0.225837303	-0.182329539	1.073904254	0.219927244	-0.277328387	0
1993	1146974462	0.028299097	-0.091075467	0.589814308	0.801887462	-9.210873833	3.445399861	-0.912252432	0.690519158	0.315199359	-0.31211128	1.070033519	0.220891337	-0.280632351	0
1994	1146991129	0.028502252	-0.090973863	0.589885324	0.801839561	-9.218358292	3.454172873	-0.903437246	0.233416184	0.366787909	-0.937093497	1.073383034	0.222260215	-0.277103018	0
1995	1147007796	0.028672502	-0.090857308	0.589937103	0.801808613	-9.184768638	3.433034105	-0.931836726	0.768009304	0.455470919	-0.762017502	1.071444482	0.217882353	-0.276872448	0
1996	1147024463	0.028896049	-0.090679325	0.589981511	0.801788061	-9.242887211	3.437282106	-0.915373266	0.659443483	0.667805682	-1.32295302	1.071586133	0.222781754	-0.281611525	0
1997	1147041130	0.02910689	-0.090513442	0.590087409	0.801721245	-9.250865972	3.453152039	-0.897581703	0.620682154	0.45425493	-1.201268085	1.072059225	0.220480392	-0.280323199	0
1998	1147057797	0.029316226	-0.090416813	0.590112001	0.801706421	-9.268925046	3.443635252	-0.888816591	0.783160421	0.268682989	-0.900185318	1.074695837	0.219843599	-0.276229832	0
1999	1147074464	0.029494882	-0.090368011	0.590103154	0.801711882	-9.276293471	3.457831651	-0.901050542	0.89932896	0.17937685	-0.523884061	1.071246977	0.221452823	-0.276288394	0
2000	1147091131	0.029613027	-0.090323428	0.590077679	0.801731301	-9.2309822	3.45200333	-0.887099303	1.313965869	0.297487667	-0.128631296	1.070217378	0.219805986	-0.277871435	0
2001	1147107798	0.029691723	-0.090295056	0.590019934	0.801774084	-9.246750527	3.462043642	-0.881553073	1.509249986	0.392480064	0.173298721	1.070276918	0.217160108	-0.277043927	0
2002	1147124465	0.02976183	-0.090273164	0.590039249	0.801759736	-9.234873943	3.463017103	-0.896264836	1.243110566	0.229879762	0.229362971	1.072517621	0.219195708	-0.27749044	0
2003	1147141132	0.029862537	-0.090269521	0.590027592	0.80176498	-9.238078589	3.458570651	-0.895297235	1.172106811	0.131732088	0.122821929	1.072693323	0.219474313	-0.27538374	0
2004	1147157799	0.029978156	-0.09025485	0.589979847	0.801797451	-9.231737917	3.442181852	-0.88229168	1.444023261	0.159794007	0.019222219	1.07110172	0.217920972	-0.280625633	0
2005	1147174466	0.030098595	-0.090258511	0.58985138	0.801887041	-9.230912997	3.425502246	-0.891062195	1.583029124	0.247919882	0.074478746	1.072440431	0.219125356	-0.278225812	0
2006	1147191133	0.030176579	-0.090241835	0.589803199	0.801921425	-9.260869003	3.437234834	-0.896678181	1.517547031	0.292388186	0.227880853	1.071235125	0.219412335	-0.278209773	0
2007	1147207800	0.030247224	-0.090250031	0.589754193	0.801953882	-9.249278012	3.443970868	-0.919531688	1.410905574	0.217924188	0.360567387	1.071710723	0.21837128	-0.27469056	0
2008	1147224467	0.030353406	-0.090260833	0.589615032	0.802050975	-9.240491756	3.468731305	-0.897333447	1.661207747	0.271044696	0.191116166	1.072292755	0.219798178	-0.279105248	0
