sep=,
DeviceTag:,Xsens_5,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2023.0.0,,,,,,,,,,,,,,,,,
StartTime:,2023-06-20 14:10:10.000 +0200,,,,,,,,,,,,,,,,,
© Movella Technologies B. V. 2005-2023,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Status,
73, 717561449, 0.6567729, 0.0014053656, -0.017178372, -0.7538914, 0.09395752102136612, 0.11106619983911514, 9.908378601074219, 1.0726405382156372, -0.8263681530952454, 0.5070610046386719, 0, 
74, 717578116, 0.6568755, 0.0014059818, -0.017296484, -0.7537994, 0.08539566397666931, 0.12234051525592804, 9.901900291442871, 1.0266849994659424, -0.8392192721366882, 0.5084248781204224, 0, 
75, 717594783, 0.65697175, 0.001417782, -0.017408252, -0.75371283, 0.08421577513217926, 0.12192081660032272, 9.908401489257812, 1.047104835510254, -0.7572907209396362, 0.4441946744918823, 0, 
76, 717611450, 0.6570682, 0.001426729, -0.017526321, -0.75362605, 0.10413583368062973, 0.13505055010318756, 9.921534538269043, 1.0741775035858154, -0.8037649393081665, 0.4781058728694916, 0, 
77, 717628117, 0.6571688, 0.0014328962, -0.017644448, -0.75353557, 0.09592355042695999, 0.12765756249427795, 9.900837898254395, 1.0653538703918457, -0.8213481307029724, 0.5120042562484741, 0, 
78, 717644784, 0.6572657, 0.0014396298, -0.017756354, -0.7534485, 0.09172429889440536, 0.12154659628868103, 9.895620346069336, 1.0406503677368164, -0.7937504053115845, 0.47827237844467163, 0, 
79, 717661451, 0.6573562, 0.0014469435, -0.017877644, -0.7533667, 0.11063839495182037, 0.12451434880495071, 9.903507232666016, 1.0963836908340454, -0.8374841213226318, 0.4152010977268219, 0, 
80, 717678118, 0.6574633, 0.0014588903, -0.017986683, -0.75327045, 0.11464764922857285, 0.12916700541973114, 9.890546798706055, 1.0601671934127808, -0.7604410648345947, 0.5285115838050842, 0, 
81, 717694785, 0.65755886, 0.0014706228, -0.018102499, -0.75318426, 0.09890040010213852, 0.12658515572547913, 9.913847923278809, 1.0996365547180176, -0.7933405637741089, 0.4736492931842804, 0, 
82, 717711452, 0.6576583, 0.0014719223, -0.018221017, -0.75309455, 0.10541065037250519, 0.14226394891738892, 9.938143730163574, 1.0715649127960205, -0.8633401393890381, 0.49939003586769104, 0, 
83, 717728119, 0.6577544, 0.0014757883, -0.01833194, -0.7530079, 0.10031851381063461, 0.13099683821201324, 9.877192497253418, 1.0476425886154175, -0.8195294737815857, 0.4523266553878784, 0, 
84, 717744786, 0.6578567, 0.0014863239, -0.018432584, -0.7529161, 0.09006917476654053, 0.13900041580200195, 9.886398315429688, 1.0315066576004028, -0.7423712611198425, 0.5162432193756104, 0, 
85, 717761453, 0.6579664, 0.0014963037, -0.018536136, -0.7528177, 0.10308443754911423, 0.12273337692022324, 9.893960952758789, 1.0483342409133911, -0.7614142894744873, 0.5728984475135803, 0, 
86, 717778120, 0.65807277, 0.0015144387, -0.018629557, -0.7527223, 0.08243989199399948, 0.13158045709133148, 9.89236068725586, 1.0385501384735107, -0.6783908009529114, 0.5235300064086914, 0, 
87, 717794787, 0.65817297, 0.0015257956, -0.018719096, -0.7526325, 0.09347473829984665, 0.13512906432151794, 9.882953643798828, 0.9935421943664551, -0.7027100324630737, 0.46200183033943176, 0, 
88, 717811454, 0.6582738, 0.0015397853, -0.018813672, -0.7525419, 0.10139714181423187, 0.14116039872169495, 9.902836799621582, 1.0362961292266846, -0.71661776304245, 0.4847267270088196, 0, 
89, 717828121, 0.6583854, 0.0015518706, -0.0189004, -0.75244224, 0.1007494255900383, 0.1369747370481491, 9.908519744873047, 0.9937663078308105, -0.6931565403938293, 0.5610525608062744, 0, 
90, 717844788, 0.6584883, 0.0015674331, -0.018989129, -0.7523498, 0.10190316289663315, 0.12736296653747559, 9.919817924499512, 1.024411916732788, -0.6891865134239197, 0.508239209651947, 0, 
91, 717861455, 0.6585877, 0.0015775557, -0.019075131, -0.7522606, 0.10317934304475784, 0.14487995207309723, 9.915706634521484, 0.9925369620323181, -0.711085319519043, 0.4514686167240143, 0, 
92, 717878122, 0.6586909, 0.001595407, -0.019159403, -0.752168, 0.09014350920915604, 0.11686170101165771, 9.917749404907227, 1.0226960182189941, -0.6665449142456055, 0.4841633141040802, 0, 
93, 717894789, 0.6587961, 0.0016031316, -0.01924486, -0.75207376, 0.10566183924674988, 0.1192590668797493, 9.907344818115234, 0.991089940071106, -0.7302821278572083, 0.483753502368927, 0, 
94, 717911456, 0.65889883, 0.0016175885, -0.019326935, -0.7519815, 0.09711793810129166, 0.11973325163125992, 9.882851600646973, 1.0127837657928467, -0.6844737529754639, 0.4877874553203583, 0, 
95, 717928123, 0.65900356, 0.0016308564, -0.019408451, -0.7518876, 0.08387549966573715, 0.13585805892944336, 9.889148712158203, 1.0101072788238525, -0.6928620338439941, 0.47400787472724915, 0, 
96, 717944790, 0.65910894, 0.0016550563, -0.019485375, -0.7517932, 0.0863838866353035, 0.13060595095157623, 9.921384811401367, 1.0433908700942993, -0.6217866539955139, 0.4725991487503052, 0, 
97, 717961457, 0.65920997, 0.0016680706, -0.019567149, -0.75170255, 0.08432415872812271, 0.12602174282073975, 9.913393020629883, 1.0237972736358643, -0.7079350352287292, 0.4601641893386841, 0, 
98, 717978124, 0.65931946, 0.001686865, -0.01964349, -0.7516044, 0.09627067297697067, 0.12686733901500702, 9.90860652923584, 1.0295857191085815, -0.6588995456695557, 0.5060877799987793, 0, 
