sep=															
DeviceTag:	Xsens_3														
FirmwareVersion:	2.2.1														
AppVersion:	2023.0.0														
StartTime:	2023-07-17 14:57:19.000 +0200														
© Movella Technologies B. V. 2005-2023															
PacketCounter	SampleTimeFine	Quat_W	Quat_X	Quat_Y	Quat_Z	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Status
1678	1141912089	0.89495714	0.371883147	-0.24646947	0.002728328	-8.581996827	-0.890298058	-4.141192404	2.962526594	-2.704450236	-3.682353475	1.168241749	-0.433598227	0.158882403	0
1679	1141928756	0.89464631	0.372356869	-0.246888286	0.002125133	-8.600345729	-0.890906134	-4.081809302	3.666088179	-2.773025612	-3.071294288	1.168041101	-0.430298017	0.158397376	0
1680	1141945423	0.894316347	0.372907188	-0.247256989	0.001575484	-8.632848683	-0.90686889	-4.023969092	4.100320267	-2.637247884	-2.481130921	1.169660652	-0.432919379	0.161257656	0
1681	1141962090	0.894057252	0.373338693	-0.247545331	0.0010765	-8.602281656	-0.901779721	-4.039545716	3.085684284	-2.16051554	-2.17277413	1.166045347	-0.430007376	0.156398979	0
1682	1141978757	0.893892266	0.373612332	-0.247729881	0.000590328	-8.626085982	-0.968491369	-4.093438551	1.790172788	-1.41570679	-2.117169407	1.167383865	-0.432857023	0.159134698	0
1683	1141995424	0.893823766	0.373740746	-0.247784024	8.43E-05	-8.685837323	-1.024912547	-4.194520575	0.680197859	-0.403907119	-2.154186055	1.167041189	-0.433970222	0.158615426	0
1684	1142012091	0.893734383	0.37398775	-0.247733462	-0.000382764	-8.705866165	-1.026510398	-4.288271441	1.549180028	0.140271591	-1.393245296	1.16886163	-0.432518112	0.155860652	0
1685	1142028758	0.893640257	0.374348252	-0.2475274	-0.000814642	-8.771745557	-1.046757559	-4.317905568	2.100710747	0.967389124	-0.618798643	1.168045148	-0.434264746	0.154582462	0
1686	1142045425	0.893763728	0.374233757	-0.247252534	-0.001295424	-8.795980817	-1.092482451	-4.433972988	-1.182153375	1.913870602	-1.51197624	1.168735614	-0.433087194	0.15600393	0
1687	1142062092	0.894129009	0.373619508	-0.246857006	-0.001843206	-8.738153863	-1.086803104	-4.584500704	-4.815072282	3.22820672	-2.479547561	1.165863216	-0.433766439	0.155379861	0
1688	1142078759	0.894647281	0.372720978	-0.246332331	-0.002386934	-8.808073482	-1.148904392	-4.602856275	-7.118320266	4.23179857	-2.656418889	1.168650284	-0.430783985	0.159972173	0
1689	1142095426	0.895297302	0.371485033	-0.245830775	-0.002973539	-8.825828199	-1.171271294	-4.618688222	-9.349523645	4.454595832	-3.512853896	1.167503881	-0.43570782	0.157484567	0
1690	1142112093	0.896032786	0.370012955	-0.245362909	-0.003564174	-8.706921975	-1.131209769	-4.576071042	-10.98142563	4.415723883	-4.010140307	1.166866382	-0.432746618	0.159167122	0
1691	1142128760	0.896895531	0.368262798	-0.244834101	-0.004144912	-8.631822134	-1.045971089	-4.541463758	-13.03473434	4.986029852	-4.261552656	1.166945761	-0.431138372	0.161117472	0
1692	1142145427	0.897966155	0.365983543	-0.244313231	-0.004886341	-8.615496352	-1.083812806	-4.456197332	-16.43115676	5.740339299	-6.115951563	1.164144637	-0.431429183	0.164148093	0
1693	1142162094	0.89913674	0.363406519	-0.243835221	-0.005762794	-8.6657195	-1.15589929	-4.433794428	-18.50609444	5.943176376	-7.624367554	1.166617124	-0.430491512	0.166565512	0
1694	1142178761	0.900274563	0.360849583	-0.243409503	-0.006715896	-8.604897922	-1.136712723	-4.325666202	-18.04689833	5.789234612	-8.15415494	1.163995251	-0.429783636	0.168495484	0
1695	1142195428	0.901499876	0.357989438	-0.243062764	-0.007875814	-8.49977743	-1.177765015	-4.327875862	-19.85542796	5.961793656	-10.15251092	1.16965002	-0.427343353	0.172308332	0
1696	1142212095	0.902949014	0.354502492	-0.242741021	-0.009373232	-8.367695739	-1.270959084	-4.420419789	-23.73071372	7.048808928	-13.34092136	1.161110254	-0.423224657	0.175139191	0
1697	1142228762	0.904543664	0.350615912	-0.242367325	-0.011283689	-8.312867549	-1.412932301	-4.518117388	-25.87839583	8.648302348	-16.43676023	1.166826797	-0.424283338	0.180065533	0
1698	1142245429	0.906212904	0.346523616	-0.24190019	-0.013559313	-8.326653883	-1.606716584	-4.466415613	-26.73878864	10.24794522	-18.82210625	1.163493498	-0.424673821	0.184629653	0
1699	1142262096	0.907968995	0.342144646	-0.241382582	-0.016241745	-8.332371545	-1.595367126	-4.486483613	-28.07379233	11.69773278	-21.71157202	1.15996983	-0.420456212	0.183827308	0
1700	1142278763	0.909887635	0.337243905	-0.240824632	-0.019352984	-8.390694456	-1.557391678	-4.492255416	-31.01692337	13.28460443	-25.14656056	1.163958435	-0.419023685	0.190497865	0
