sample;time;ulna_l_offset|position;;;humerus_l_offset|position;;
;;x;y;z;x;y;z
114;1.88333333;0.1734559007417117;1.414198805243075;-0.2427729444026689;0.1734559007417117;1.414198805243075;-0.2427729444026689
115;1.9;0.1734575109244462;1.414181039700315;-0.2427632179357037;0.1734575109244462;1.414181039700315;-0.2427632179357037
116;1.91666667;0.1734584633153364;1.414135959207396;-0.2427701496422664;0.1734584633153364;1.414135959207396;-0.2427701496422664
117;1.93333333;0.1734623095498284;1.414034399289919;-0.2427683165284604;0.1734623095498284;1.414034399289919;-0.2427683165284604
118;1.95;0.173462866734013;1.413907243626457;-0.2428085072130097;0.173462866734013;1.413907243626457;-0.2428085072130097
119;1.96666667;0.1734578585239133;1.413782160263591;-0.2429033623658806;0.1734578585239133;1.413782160263591;-0.2429033623658806
120;1.98333333;0.173453720447065;1.413639943571329;-0.2429945629300721;0.173453720447065;1.413639943571329;-0.2429945629300721
121;2;0.1734521551516139;1.413503775970144;-0.2430569838288344;0.1734521551516139;1.413503775970144;-0.2430569838288344
122;2.01666667;0.1734546488620043;1.413365369454868;-0.2430788306553693;0.1734546488620043;1.413365369454868;-0.2430788306553693
123;2.03333333;0.1734527031591246;1.413277728908627;-0.243127498311905;0.1734527031591246;1.413277728908627;-0.243127498311905
124;2.05;0.1734491685714847;1.413135377632565;-0.2432095233509067;0.1734491685714847;1.413135377632565;-0.2432095233509067
125;2.06666667;0.1734544403410769;1.412943800478173;-0.2432188644916767;0.1734544403410769;1.412943800478173;-0.2432188644916767
126;2.08333333;0.1734631762945757;1.412665865080094;-0.2432193174912372;0.1734631762945757;1.412665865080094;-0.2432193174912372
127;2.1;0.173473430189639;1.412357918518861;-0.2432109532153086;0.173473430189639;1.412357918518861;-0.2432109532153086
128;2.11666667;0.1734822175428695;1.412027555222744;-0.243220312413255;0.1734822175428695;1.412027555222744;-0.243220312413255
129;2.13333333;0.1734911011044626;1.411648249368668;-0.2432383449620962;0.1734911011044626;1.411648249368668;-0.2432383449620962
130;2.15;0.1735050025244184;1.411223501299571;-0.243213264447837;0.1735050025244184;1.411223501299571;-0.243213264447837
131;2.16666667;0.1735241980585825;1.410811572311695;-0.2431259283295781;0.1735241980585825;1.410811572311695;-0.2431259283295781
132;2.18333333;0.1735492356201435;1.410377819118731;-0.2429788543676626;0.1735492356201435;1.410377819118731;-0.2429788543676626
133;2.2;0.1735736747589414;1.409955551913084;-0.2428278775967166;0.1735736747589414;1.409955551913084;-0.2428278775967166
134;2.21666667;0.1735983874261763;1.409539367103686;-0.2426657123470749;0.1735983874261763;1.409539367103686;-0.2426657123470749
135;2.23333333;0.1736256110443309;1.409134243770627;-0.2424686290842591;0.1736256110443309;1.409134243770627;-0.2424686290842591
136;2.25;0.1736552370623078;1.408729414335836;-0.2422393997917143;0.1736552370623078;1.408729414335836;-0.2422393997917143
137;2.26666667;0.1736848296818996;1.408336760858457;-0.2420005919064157;0.1736848296818996;1.408336760858457;-0.2420005919064157
138;2.28333333;0.1737144283504136;1.407956646962802;-0.241752011030591;0.1737144283504136;1.407956646962802;-0.241752011030591
139;2.3;0.1737439497239679;1.40757714370266;-0.2414964769979514;0.1737439497239679;1.40757714370266;-0.2414964769979514
140;2.31666667;0.1737715075639247;1.407172711764239;-0.2412572286206065;0.1737715075639247;1.407172711764239;-0.2412572286206065
141;2.33333333;0.1737975158020723;1.406739959901768;-0.2410294864775599;0.1737975158020723;1.406739959901768;-0.2410294864775599
142;2.35;0.1738221096316498;1.406285900288363;-0.2408100208137807;0.1738221096316498;1.406285900288363;-0.2408100208137807
143;2.36666667;0.1738455061704699;1.405827502742764;-0.240594232077767;0.1738455061704699;1.405827502742764;-0.240594232077767
144;2.38333333;0.1738689186780326;1.405338126539005;-0.2403701756880894;0.1738689186780326;1.405338126539005;-0.2403701756880894
145;2.4;0.1738903677248934;1.404790610905842;-0.2401590101927876;0.1738903677248934;1.404790610905842;-0.2401590101927876
146;2.41666667;0.1739091201981701;1.404224227064945;-0.239964910337922;0.1739091201981701;1.404224227064945;-0.239964910337922
147;2.43333333;0.1739262108309179;1.403613014649606;-0.239775119001883;0.1739262108309179;1.403613014649606;-0.239775119001883
148;2.45;0.1739396683075992;1.402962240855159;-0.2396091090576134;0.1739396683075992;1.402962240855159;-0.2396091090576134
149;2.46666667;0.1739529920657391;1.40221422702557;-0.2394205118815403;0.1739529920657391;1.40221422702557;-0.2394205118815403
150;2.48333333;0.1739658956688502;1.401389185391191;-0.2392052590080453;0.1739658956688502;1.401389185391191;-0.2392052590080453
151;2.5;0.1739764622986915;1.400563003879695;-0.2389874176796002;0.1739764622986915;1.400563003879695;-0.2389874176796002
152;2.51666667;0.1739828011087544;1.399608446463107;-0.2387674472125981;0.1739828011087544;1.399608446463107;-0.2387674472125981
153;2.53333333;0.1739838852271914;1.398600119681948;-0.2385584611846018;0.1739838852271914;1.398600119681948;-0.2385584611846018
154;2.55;0.173980076178145;1.397508687267094;-0.2383418478175638;0.173980076178145;1.397508687267094;-0.2383418478175638
155;2.56666667;0.1739714593866942;1.396392895732094;-0.2381233365438973;0.1739714593866942;1.396392895732094;-0.2381233365438973
156;2.58333333;0.1739563341752462;1.395253951249884;-0.2379206129124193;0.1739563341752462;1.395253951249884;-0.2379206129124193
157;2.6;0.1739373340074878;1.394133016817543;-0.2377154068951947;0.1739373340074878;1.394133016817543;-0.2377154068951947
158;2.61666667;0.1739127626493404;1.393034004133583;-0.2375332003017607;0.1739127626493404;1.393034004133583;-0.2375332003017607
159;2.63333333;0.1738799465033994;1.391895214406504;-0.237379059079007;0.1738799465033994;1.391895214406504;-0.237379059079007
